,cue,target,objectSentence,objectImage,trialType,trialIndex
0,There was a star in the sky.,microwave,star,microwave,practice,1
1,There was a flower in the basket.,glove,flower,mouse,practice,2
2,There was a vase on the floor.,trafficlight,vase,trafficlight,practice,3
3,There was a computer on the desk.,bottle,computer,bottle,practice,4
4,There was a glass in the dishwasher.,glass,glass,letter,practice,5
5,There was a mouse in the trap.,mouse,mouse,mouse,practice,6
6,There was butter on the bread.,butter,butter,butter,practice,7
7,There was a dress on the shelf.,dress,dress,dress,practice,8
